일자,"2023년
비중(%)",거래물량(톤)
20230101,-13.906,
20230102,-15.344,3.89
20230103,-13.871,28.9
20230104,-12.819,35.09
20230105,-12.235,38.24
20230106,-13.301,40.26
20230107,-13.818,41.93
20230108,-12.207,
20230109,-8.751,44.69
20230110,-8.749,44.94
20230111,-8.943,44.04
20230112,-8.743,44.31
20230113,-8.138,44.58
20230114,-6.866,45.05
20230115,-6.763,
20230116,-5.988,46.86
20230117,-5.228,47.35
20230118,-4.418,48.13
20230119,-4.029,48.98
20230120,-3.126,50.22
20230121,-2.451,48.12
20230122,-3.035,
20230123,-3.464,
20230124,-2.847,
20230125,-4.091,47.8
20230126,-6.563,46.65
20230127,-9.702,47.54
20230128,-10.906,47.95
20230129,-11.021,
20230130,-12.356,49.22
20230131,-14.485,49.26
20230201,-14.575,49.18
20230202,-12.923,49.01
20230203,-10.26,48.91
20230204,-10.96,48.81
20230205,-11.221,
20230206,-11.092,49.24
20230207,-11.813,48.97
20230208,-11.548,48.97
20230209,-11.304,49
20230210,-12.111,48.76
20230211,-11.246,48.93
20230212,-11.005,
20230213,-9.642,49.59
20230214,-8.906,49.59
20230215,-8.685,49.66
20230216,-8.761,49.59
20230217,-9.192,49.3
20230218,-9.589,49.34
20230219,-9.814,
20230220,-10.87,49.7
20230221,-11.376,49.53
20230222,-12.231,49.44
20230223,-12.503,49.35
20230224,-11.639,49.31
20230225,-11.891,49.31
20230226,-12.091,
20230227,-11.771,49.68
20230228,-10.91,49.7
20230301,-10.445,49.77
20230302,-10.097,49.8
20230303,-9.392,49.9
20230304,-8.925,50.06
20230305,-9.085,
20230306,-9.326,50.29
20230307,-9.24,50.36
20230308,-10.342,50.3
20230309,-9.627,50.37
20230310,-9.561,50.49
20230311,-9.098,50.71
20230312,-9.355,
20230313,-9.835,51.29
20230314,-9.277,51.4
20230315,-7.706,51.56
20230316,-7.741,51.67
20230317,-7.224,51.83
20230318,-7.49,51.94
20230319,-7.52,
20230322,-10.814,51.87
20230323,-10.975,51.92
20230324,-11.517,51.98
20230325,-10.971,52.17
20230326,-10.8,
20230327,-6.828,52.62
20230328,-6.815,52.67
20230329,-6.804,52.7
20230330,-7.364,52.69
20230331,-7.857,52.72
20230401,-8.87,52.76
20230402,-8.975,
20230403,-10.04,53.04
20230404,-10.852,53.01
20230405,-10.798,53.06
20230406,-10.134,53.12
20230407,-9.215,53.26
20230408,-8.454,53.37
20230409,-8.569,
20230410,-8.038,53.64
20230411,-7.611,53.62
20230412,-7.588,53.63
20230413,-7.906,53.61
20230414,-8.803,53.61
20230415,-9.56,53.64
20230416,-9.688,
20230417,-9.508,53.9
20230418,-9.415,53.91
20230420,-8.575,53.97
20230421,-8.585,54
20230422,-8.28,54.07
20230423,-8.119,
20230424,-8.136,54.32
20230425,-9.844,54.35
20230426,-9.804,54.39
20230427,,54.44
20230428,,54.46
20230429,,54.47
20230430,,
20230501,,54.38
20230502,,54.37
20230503,,54.36
20230504,,54.37
20230505,,54.43
20230506,,54.54
20230507,,
20230508,,54.89
20230509,,54.85
20230510,,54.81
20230511,,54.73
20230512,,54.68
20230513,,54.66
20230514,,
20230515,,54.84
20230516,,54.88
20230517,,54.93
20230518,,54.97
20230519,,55.04
20230520,,55.15
20230521,,
20230522,,55.4
20230523,,55.44
20230524,,55.52
20230525,,55.54
20230526,,55.55
20230527,,
20230528,,
20230529,,
20230530,,
20230531,,
20230601,,
20230602,,
20230603,,
20230604,,
20230605,,
20230606,,
20230607,,
20230608,,
20230609,,
20230610,,
20230611,,
20230612,,
20230613,,
20230614,,
20230615,,
20230616,,
20230617,,
20230618,,
20230619,,
20230620,,
20230621,,
20230622,,
20230623,,
20230624,,
20230625,,
20230626,,
20230627,,
20230628,,
20230629,,
20230630,,
20230701,,
20230702,,
20230703,,
20230704,,
20230705,,
20230706,,
20230707,,
20230708,,
20230709,,
20230710,,
20230711,,
20230712,,
20230713,,
20230714,,
20230715,,
20230716,,
20230717,,
20230718,,
20230719,,
20230720,,
20230721,,
20230722,,
20230723,,
20230724,,
20230725,,
20230726,,
20230727,,
20230728,,
20230729,,
20230730,,
20230731,,
20230801,,
20230802,,
20230803,,
20230804,,
20230805,,
20230806,,
20230807,,
20230808,,
20230809,,
20230810,,
20230811,,
20230812,,
20230813,,
20230814,,
20230815,,
20230816,,
20230817,,
20230818,,
20230819,,
20230820,,
20230821,,
20230822,,
20230823,,
20230824,,
20230825,,
20230826,,
20230827,,
20230828,,
20230829,,
20230830,,
20230831,,
20230901,,
20230902,,
20230903,,
20230904,,
20230905,,
20230906,,
20230907,,
20230908,,
20230909,,
20230910,,
20230911,,
20230912,,
20230913,,
20230914,,
20230915,,
20230916,,
20230917,,
20230918,,
20230919,,
20230920,,
20230921,,
20230922,,
20230923,,
20230924,,
20230925,,
20230926,,
20230927,,
20230928,,
20230929,,
20230930,,
20231001,,
20231002,,
20231003,,
20231004,,
20231005,,
20231006,,
20231007,,
20231008,,
20231009,,
20231010,,
20231011,,
20231012,,
20231013,,
20231014,,
20231015,,
20231016,,
20231017,,
20231018,,
20231019,,
20231020,,
20231021,,
20231022,,
20231023,,
20231024,,
20231025,,
20231026,,
20231027,,
20231028,,
20231029,,
20231030,,
20231031,,
20231101,,
20231102,,
20231103,,
20231104,,
20231105,,
20231106,,
20231107,,
20231108,,
20231109,,
20231110,,
20231111,,
20231112,,
20231113,,
20231114,,
20231115,,
20231116,,
20231117,,
20231118,,
20231119,,
20231120,,
20231121,,
20231122,,
20231123,,
20231124,,
20231125,,
20231126,,
20231127,,
20231128,,
20231129,,
20231130,,
20231201,,
20231202,,
20231203,,
20231204,,
20231205,,
20231206,,
20231207,,
20231208,,
20231209,,
20231210,,
20231211,,
20231212,,
20231213,,
20231214,,
20231215,,
20231216,,
20231217,,
20231218,,
20231219,,
20231220,,
20231221,,
20231222,,
20231223,,
20231224,,
20231225,,
20231226,,
20231227,,
20231228,,
20231229,,
20231230,,
20231231,,
