일자,"2023년
비중(%)",거래물량(톤)
20230101,-5.311,
20230102,-13.424,8.5
20230103,-18.716,25.6
20230104,-14.297,30.18
20230105,-17.585,31.94
20230106,-22.479,34.02
20230107,-18.875,36.08
20230108,-18.226,
20230109,-6.909,38.35
20230110,-1.136,39.4
20230111,-2.058,37.64
20230112,7.195,38.64
20230113,11.264,39.62
20230114,14.719,40.8
20230115,11.978,
20230116,11.368,41.82
20230117,15.651,42.95
20230118,9.879,43.73
20230119,8.749,45.04
20230120,10.644,46.64
20230121,11.228,44.49
20230122,8.805,
20230123,8.163,
20230124,9.585,42.16
20230125,9.414,41.43
20230126,-3.548,40.89
20230127,-6.452,40.64
20230128,-9.616,40.61
20230129,-9.697,
20230130,-13.303,40.58
20230131,-18.783,39.94
20230201,-18.895,39.88
20230202,-18.727,38.95
20230203,-17.033,39
20230204,-15.611,39.23
20230205,-15.213,
20230206,-15.009,39.3
20230207,-13.618,39.26
20230208,-14.38,38.79
20230209,-16.871,38.7
20230210,-18.382,38.31
20230211,-20.838,38.01
20230212,-21.424,
20230213,-20.081,38.18
20230214,-19.954,38.26
20230215,-16.981,38.39
20230216,-15.941,38.31
20230217,-15.119,38.14
20230218,-12.482,38.29
20230219,-11.449,
20230220,-9.78,38.43
20230221,-8.531,38.57
20230222,-8.111,38.74
20230223,-8.676,38.47
20230224,-5.737,38.68
20230225,-4.452,38.97
20230226,-4.753,
20230227,-4.033,39.28
20230228,-3.603,39.54
20230301,-2.25,39.85
20230302,-2.932,39.66
20230303,-2.798,39.96
20230304,-4.111,40.27
20230305,-7.771,
20230306,-8.778,40.62
20230307,-8.902,40.99
20230308,-9.938,41.15
20230309,-10.213,41.07
20230310,-8.371,41.56
20230311,-6.676,42.09
20230312,-6.75,
20230313,-3.539,42.78
20230314,-2.005,43.34
20230315,-0.029,43.85
20230316,6.423,43.68
20230317,6.578,44.15
20230318,7.066,44.67
20230319,5.696,
20230322,1.163,45.94
20230323,-4.588,46.04
20230324,-4.278,46.51
20230325,-3.063,47.14
20230326,-3.603,
