일자,"2023년
비중(%)",평균가격(원/kg)
20230101,30.432,
20230102,29.867,3590
20230103,23.423,4760
20230104,30.595,5170
20230105,26.052,5310
20230106,31.75,5360
20230107,37.66,5320
20230108,39.72,
20230109,39.96,5280
20230110,40.18,5260
20230111,40.7,5430
20230112,38.78,5410
20230113,29.937,5400
20230114,23.211,5370
20230115,21.654,
20230116,20.226,5420
20230117,20.796,5540
20230118,19.013,5800
20230119,23.999,5960
20230120,28.605,6080
20230121,29.939,6020
20230122,27.805,
20230123,29.257,
20230124,29.536,5790
20230125,27.353,5830
20230126,30.632,5900
20230127,25.032,5870
20230128,22.48,5820
20230129,21.154,
20230130,20.613,5810
20230131,20.048,5810
20230201,18.038,5830
20230202,14.747,5840
20230203,13.871,5830
20230204,15.633,5810
20230205,17.244,
20230206,17.506,5790
20230207,21.724,5790
20230208,24.402,5790
20230209,27.282,5770
20230210,27.83,5770
20230211,26.764,5750
20230212,28.63,
20230213,28.65,5740
20230214,26.213,5720
20230215,25.476,5700
20230216,26.149,5690
20230217,26.526,5660
20230218,27.75,5640
20230219,30.82,
20230220,32.09,5630
20230221,32.67,5630
20230222,34.45,5630
20230223,37.18,5640
20230224,37.61,5630
20230225,37.72,5630
20230226,38.48,
20230227,39.72,5640
20230228,40.69,5650
20230301,41.71,5660
20230302,42.7,5680
20230303,45.23,5700
20230304,45.97,5720
20230305,45.74,
20230306,45.75,5730
20230307,46.08,5730
20230308,45.28,5730
20230309,43.58,5720
20230310,39.36,5700
20230311,35.52,5670
20230312,35.99,
20230313,31.34,5640
20230314,25.324,5620
20230315,21.653,5590
20230316,18.336,5570
20230317,18.582,5540
20230318,17.947,5510
20230319,18.482,
20230322,20.295,5440
20230323,20.879,5420
20230324,18.362,5390
20230325,17.234,5360
20230326,17.689,
20230327,17.527,5330
20230328,16.213,5310
20230329,14.045,5280
20230330,11.088,5250
20230331,11.93,5220
20230401,12.417,5190
20230402,13.911,
20230403,13.802,5160
20230404,12.33,5140
20230405,10.72,5110
20230406,9.31,5070
20230407,7.898,5040
20230408,7.56,5010
20230409,8.606,
20230410,9.026,4990
20230411,10.763,4970
20230412,12.3,4940
20230413,13.897,4910
20230414,16.755,4890
20230415,21.748,4870
20230416,23.256,
20230417,22.702,4850
20230418,23.451,4830
20230420,24.125,4780
20230421,23.415,4760
20230422,21.456,4730
20230423,22.974,
20230424,22.177,4710
20230425,23.456,4690
20230426,24.913,4660
20230427,,4640
20230428,,4620
20230429,,4610
20230430,,
20230501,,4610
20230502,,4590
20230503,,4580
20230504,,4560
20230505,3.182,4550
20230506,,4530
20230507,,
20230508,,4530
20230509,,4520
20230510,,4510
20230511,,4500
20230512,,4490
20230513,,4480
20230514,,
20230515,,4470
20230516,,4460
20230517,,4450
20230518,,4430
20230519,,4410
20230520,,4400
20230521,,
20230522,,4390
20230523,,4370
20230524,,4360
20230525,,4350
20230526,,4330
20230527,,
20230528,,
20230529,,
20230530,,
20230531,,
20230601,,
20230602,,
20230603,,
20230604,,
20230605,,
20230606,,
20230607,,
20230608,,
20230609,,
20230610,,
20230611,,
20230612,,
20230613,,
20230614,,
20230615,,
20230616,,
20230617,,
20230618,,
20230619,,
20230620,,
20230621,,
20230622,,
20230623,,
20230624,,
20230625,,
20230626,,
20230627,,
20230628,,
20230629,,
20230630,,
20230701,,
20230702,,
20230703,,
20230704,,
20230705,,
20230706,,
20230707,,
20230708,,
20230709,,
20230710,,
20230711,,
20230712,,
20230713,,
20230714,,
20230715,,
20230716,,
20230717,,
20230718,,
20230719,,
20230720,,
20230721,,
20230722,,
20230723,,
20230724,,
20230725,,
20230726,,
20230727,,
20230728,,
20230729,,
20230730,,
20230731,,
20230801,,
20230802,,
20230803,,
20230804,,
20230805,,
20230806,,
20230807,,
20230808,,
20230809,,
20230810,,
20230811,,
20230812,,
20230813,,
20230814,,
20230815,,
20230816,,
20230817,,
20230818,,
20230819,,
20230820,,
20230821,,
20230822,,
20230823,,
20230824,,
20230825,,
20230826,,
20230827,,
20230828,,
20230829,,
20230830,,
20230831,,
20230901,,
20230902,,
20230903,,
20230904,,
20230905,,
20230906,,
20230907,,
20230908,,
20230909,,
20230910,,
20230911,,
20230912,,
20230913,,
20230914,,
20230915,,
20230916,,
20230917,,
20230918,,
20230919,,
20230920,,
20230921,,
20230922,,
20230923,,
20230924,,
20230925,,
20230926,,
20230927,,
20230928,,
20230929,,
20230930,,
20231001,,
20231002,,
20231003,,
20231004,,
20231005,,
20231006,,
20231007,,
20231008,,
20231009,,
20231010,,
20231011,,
20231012,,
20231013,,
20231014,,
20231015,,
20231016,,
20231017,,
20231018,,
20231019,,
20231020,,
20231021,,
20231022,,
20231023,,
20231024,,
20231025,,
20231026,,
20231027,,
20231028,,
20231029,,
20231030,,
20231031,,
20231101,,
20231102,,
20231103,,
20231104,,
20231105,,
20231106,,
20231107,,
20231108,,
20231109,,
20231110,,
20231111,,
20231112,,
20231113,,
20231114,,
20231115,,
20231116,,
20231117,,
20231118,,
20231119,,
20231120,,
20231121,,
20231122,,
20231123,,
20231124,,
20231125,,
20231126,,
20231127,,
20231128,,
20231129,,
20231130,,
20231201,,
20231202,,
20231203,,
20231204,,
20231205,,
20231206,,
20231207,,
20231208,,
20231209,,
20231210,,
20231211,,
20231212,,
20231213,,
20231214,,
20231215,,
20231216,,
20231217,,
20231218,,
20231219,,
20231220,,
20231221,,
20231222,,
20231223,,
20231224,,
20231225,,
20231226,,
20231227,,
20231228,,
20231229,,
20231230,,
20231231,,
