일자,"2023년
비중(%)",거래물량(톤)
20230101,11.042,
20230102,6.586,45.63
20230103,5.107,148.99
20230104,12.299,193.29
20230105,12.748,203.51
20230106,1.157,214.61
20230107,-2.777,218.8
20230108,-4.317,
20230109,2.201,228.41
20230110,7.558,234.64
20230111,6.222,234.81
20230112,8.104,237.36
20230113,17.199,240.15
20230114,15.717,240.11
20230115,11.682,
20230116,11.136,246.3
20230117,11.528,251.08
20230118,6.663,255.09
20230119,7.995,262.9
20230120,5.624,272.04
20230121,7.49,266.01
20230122,7.318,
20230123,4.9,
20230124,6.008,252.01
20230125,7.859,242.99
20230126,-20.79,237.3
20230127,-20.168,233.35
20230128,-21.425,229.75
20230129,-22.183,
20230130,-21.053,230
20230131,-20.067,229.88
20230201,-17.84,230.46
20230202,-13.662,232.2
20230203,-10.958,234.54
20230204,-8.267,235.32
20230205,-8.385,
20230206,-9.089,233.94
20230207,-9.393,232.28
20230208,-9.871,231.08
20230209,-11.347,229.72
20230210,-13.999,226.56
20230211,-16.667,224.77
20230212,-17.967,
20230213,-18.618,224.07
20230214,-18.939,221.89
20230215,-18.989,220.77
20230216,-20.473,219.32
20230217,-21.145,216.78
20230218,-18.071,215.66
20230219,-16.47,
20230220,-13.795,215.88
20230221,-11.865,215.28
20230222,-11.303,214.96
20230223,-9.215,214.39
20230224,-6.617,213.97
20230225,-5.904,213.08
20230226,-4.391,
20230227,-2.895,213.21
20230228,-3.142,212.67
20230301,-1.927,212.17
20230302,-3.368,211.08
20230303,-4.921,210.22
20230304,-7.684,209.09
20230305,-8.069,
20230306,-9.704,208.89
20230307,-11.188,208.04
20230308,-14.248,206.6
20230309,-14.461,205.65
20230310,-14.123,205.17
20230311,-12.607,204.53
20230312,-12.48,
20230313,-11.241,204.71
20230314,-10.306,204.08
20230315,-8.227,203.49
20230316,-7.613,202.75
20230317,-7.252,202.2
20230318,-7.923,201.37
20230319,-7.148,
20230322,-13.003,198.38
20230323,-13.933,197.37
20230324,-16.111,196.3
20230325,-16.979,195.3
20230326,-16.4,
20230327,-13.775,194.73
20230328,-13.953,193.73
20230329,-13.836,192.95
20230330,-13.722,192.06
20230331,-12.669,191.22
20230401,-11.606,190.17
20230402,-10.59,
20230403,-10.893,189.52
20230404,-11.168,188.65
20230405,-12.057,187.78
20230406,-13.298,186.67
20230407,-14.255,185.7
20230408,-14.694,184.82
20230409,-14.104,
20230410,-13.348,184.36
20230411,-11.999,183.7
20230412,-11.734,182.86
20230413,-10.401,181.96
20230414,-9.9,181.08
20230415,-10.286,180.18
20230416,-9.807,
20230417,-11.524,179.49
20230418,-12.71,178.66
20230420,-12.56,177.07
20230421,-12.936,176.36
20230422,-12.309,175.66
20230423,-11.923,
20230424,-11.01,175.18
20230425,-12.528,174.48
20230426,-13.382,173.71
20230427,,173.03
20230428,,172.31
20230429,,171.53
20230430,,
20230501,,170.55
20230502,,169.84
20230503,,169.17
20230504,,168.49
20230505,,167.8
20230506,,166.95
20230507,,
20230508,,166.47
20230509,,165.83
20230510,,165.23
20230511,,164.57
20230512,,163.92
20230513,,163.21
20230514,,
20230515,,162.7
20230516,,162.11
20230517,,161.48
20230518,,160.87
20230519,,160.22
20230520,,159.53
20230521,,
20230522,,159.04
20230523,,158.52
20230524,,158
20230525,,157.48
20230526,,156.93
20230527,,156.18
20230528,,
20230529,,
20230530,,
20230531,,
20230601,,
20230602,,
20230603,,
20230604,,
20230605,,
20230606,,
20230607,,
20230608,,
20230609,,
20230610,,
20230611,,
20230612,,
20230613,,
20230614,,
20230615,,
20230616,,
20230617,,
20230618,,
20230619,,
20230620,,
20230621,,
20230622,,
20230623,,
20230624,,
20230625,,
20230626,,
20230627,,
20230628,,
20230629,,
20230630,,
20230701,,
20230702,,
20230703,,
20230704,,
20230705,,
20230706,,
20230707,,
20230708,,
20230709,,
20230710,,
20230711,,
20230712,,
20230713,,
20230714,,
20230715,,
20230716,,
20230717,,
20230718,,
20230719,,
20230720,,
20230721,,
20230722,,
20230723,,
20230724,,
20230725,,
20230726,,
20230727,,
20230728,,
20230729,,
20230730,,
20230731,,
20230801,,
20230802,,
20230803,,
20230804,,
20230805,,
20230806,,
20230807,,
20230808,,
20230809,,
20230810,,
20230811,,
20230812,,
20230813,,
20230814,,
20230815,,
20230816,,
20230817,,
20230818,,
20230819,,
20230820,,
20230821,,
20230822,,
20230823,,
20230824,,
20230825,,
20230826,,
20230827,,
20230828,,
20230829,,
20230830,,
20230831,,
20230901,,
20230902,,
20230903,,
20230904,,
20230905,,
20230906,,
20230907,,
20230908,,
20230909,,
20230910,,
20230911,,
20230912,,
20230913,,
20230914,,
20230915,,
20230916,,
20230917,,
20230918,,
20230919,,
20230920,,
20230921,,
20230922,,
20230923,,
20230924,,
20230925,,
20230926,,
20230927,,
20230928,,
20230929,,
20230930,,
20231001,,
20231002,,
20231003,,
20231004,,
20231005,,
20231006,,
20231007,,
20231008,,
20231009,,
20231010,,
20231011,,
20231012,,
20231013,,
20231014,,
20231015,,
20231016,,
20231017,,
20231018,,
20231019,,
20231020,,
20231021,,
20231022,,
20231023,,
20231024,,
20231025,,
20231026,,
20231027,,
20231028,,
20231029,,
20231030,,
20231031,,
20231101,,
20231102,,
20231103,,
20231104,,
20231105,,
20231106,,
20231107,,
20231108,,
20231109,,
20231110,,
20231111,,
20231112,,
20231113,,
20231114,,
20231115,,
20231116,,
20231117,,
20231118,,
20231119,,
20231120,,
20231121,,
20231122,,
20231123,,
20231124,,
20231125,,
20231126,,
20231127,,
20231128,,
20231129,,
20231130,,
20231201,,
20231202,,
20231203,,
20231204,,
20231205,,
20231206,,
20231207,,
20231208,,
20231209,,
20231210,,
20231211,,
20231212,,
20231213,,
20231214,,
20231215,,
20231216,,
20231217,,
20231218,,
20231219,,
20231220,,
20231221,,
20231222,,
20231223,,
20231224,,
20231225,,
20231226,,
20231227,,
20231228,,
20231229,,
20231230,,
20231231,,
