일자,"2023년
비중(%)",평균가격(원/kg)
20230101,5.1,
20230102,7.549,1840
20230103,5.341,2050
20230104,-2.081,2030
20230105,-4.363,2040
20230106,-2.313,2040
20230107,-3.256,2040
20230108,-3.358,
20230109,-5.209,2040
20230110,-5.971,2030
20230111,-6.042,2030
20230112,-7.232,2020
20230113,-10.991,2020
20230114,-11.391,2010
20230115,-11.477,
20230116,-12.242,2020
20230117,-14.904,2020
20230118,-15.655,2060
20230119,-19.53,2120
20230120,-16.085,2170
20230121,-14.261,2170
20230122,-14.619,
20230123,-9.419,
20230124,-4.39,2140
20230125,0.437,2160
20230126,13.147,2180
20230127,6.614,2220
20230128,10.023,2260
20230129,9.452,
20230130,12.252,2290
20230131,13.683,2300
20230201,12.226,2310
20230202,10.386,2310
20230203,6.303,2310
20230204,1.593,2300
20230205,0.929,
20230206,-1.459,2310
20230207,-3.363,2310
20230208,-4.412,2310
20230209,-5.731,2300
20230210,-7.28,2290
20230211,-6.157,2280
20230212,-4.873,
20230213,-5.99,2280
20230214,-5.961,2270
20230215,-4.992,2270
20230216,-3.011,2270
20230217,0.083,2270
20230218,2.231,2260
20230219,3.086,
20230220,5.871,2260
20230221,6.456,2260
20230222,7.401,2260
20230223,8.141,2250
20230224,9.18,2250
20230225,8.773,2240
20230226,10.138,
20230227,10.413,2230
20230228,10.59,2230
20230301,9.923,2220
20230302,9.829,2220
20230303,9.423,2210
20230304,10.423,2210
20230305,10.927,
20230306,11.528,2200
20230307,12.952,2200
20230308,15.391,2190
20230309,17.309,2190
20230310,18.796,2180
20230311,18.866,2170
20230312,21.589,
20230313,20.608,2170
20230314,20.995,2160
20230315,19.841,2150
20230316,19.863,2140
20230317,19.824,2130
20230318,19.838,2120
20230319,20.511,
20230322,21.939,2100
20230323,22.015,2100
20230324,21.639,2090
20230325,22.313,2080
20230326,22.133,
20230327,22.159,2080
20230328,22.885,2080
20230329,22.498,2070
20230330,21.612,2070
20230331,21.662,2070
20230401,20.543,2060
20230402,18.797,
20230403,18.385,2060
20230404,18.562,2060
20230405,19.198,2060
20230406,20.84,2060
20230407,22.158,2060
20230408,23.61,2060
20230409,23.774,
20230410,24.305,2060
20230411,24.007,2060
20230412,23.735,2060
20230413,23.604,2060
20230414,23.43,2060
20230415,23.99,2060
20230416,22.55,
20230417,22.83,2070
20230418,23.37,2070
20230420,22.01,2080
20230421,21.164,2080
20230422,19.712,2080
20230423,20.246,
20230424,18.884,2080
20230425,19.074,2080
20230426,17.909,2090
20230427,,2090
20230428,,2100
20230429,,2100
20230430,,
20230501,,2110
20230502,,2120
20230503,,2130
20230504,,2140
20230505,,2150
20230506,,2150
20230507,,
20230508,,2160
20230509,,2170
20230510,,2180
20230511,,2180
20230512,,2190
20230513,,2200
20230514,,
20230515,,2210
20230516,,2210
20230517,,2220
20230518,,2230
20230519,,2230
20230520,,2240
20230521,,
20230522,,2240
20230523,,2240
20230524,,2250
20230525,,2250
20230526,,2250
20230527,,2250
20230528,,
20230529,,
20230530,,
20230531,,
20230601,,
20230602,,
20230603,,
20230604,,
20230605,,
20230606,,
20230607,,
20230608,,
20230609,,
20230610,,
20230611,,
20230612,,
20230613,,
20230614,,
20230615,,
20230616,,
20230617,,
20230618,,
20230619,,
20230620,,
20230621,,
20230622,,
20230623,,
20230624,,
20230625,,
20230626,,
20230627,,
20230628,,
20230629,,
20230630,,
20230701,,
20230702,,
20230703,,
20230704,,
20230705,,
20230706,,
20230707,,
20230708,,
20230709,,
20230710,,
20230711,,
20230712,,
20230713,,
20230714,,
20230715,,
20230716,,
20230717,,
20230718,,
20230719,,
20230720,,
20230721,,
20230722,,
20230723,,
20230724,,
20230725,,
20230726,,
20230727,,
20230728,,
20230729,,
20230730,,
20230731,,
20230801,,
20230802,,
20230803,,
20230804,,
20230805,,
20230806,,
20230807,,
20230808,,
20230809,,
20230810,,
20230811,,
20230812,,
20230813,,
20230814,,
20230815,,
20230816,,
20230817,,
20230818,,
20230819,,
20230820,,
20230821,,
20230822,,
20230823,,
20230824,,
20230825,,
20230826,,
20230827,,
20230828,,
20230829,,
20230830,,
20230831,,
20230901,,
20230902,,
20230903,,
20230904,,
20230905,,
20230906,,
20230907,,
20230908,,
20230909,,
20230910,,
20230911,,
20230912,,
20230913,,
20230914,,
20230915,,
20230916,,
20230917,,
20230918,,
20230919,,
20230920,,
20230921,,
20230922,,
20230923,,
20230924,,
20230925,,
20230926,,
20230927,,
20230928,,
20230929,,
20230930,,
20231001,,
20231002,,
20231003,,
20231004,,
20231005,,
20231006,,
20231007,,
20231008,,
20231009,,
20231010,,
20231011,,
20231012,,
20231013,,
20231014,,
20231015,,
20231016,,
20231017,,
20231018,,
20231019,,
20231020,,
20231021,,
20231022,,
20231023,,
20231024,,
20231025,,
20231026,,
20231027,,
20231028,,
20231029,,
20231030,,
20231031,,
20231101,,
20231102,,
20231103,,
20231104,,
20231105,,
20231106,,
20231107,,
20231108,,
20231109,,
20231110,,
20231111,,
20231112,,
20231113,,
20231114,,
20231115,,
20231116,,
20231117,,
20231118,,
20231119,,
20231120,,
20231121,,
20231122,,
20231123,,
20231124,,
20231125,,
20231126,,
20231127,,
20231128,,
20231129,,
20231130,,
20231201,,
20231202,,
20231203,,
20231204,,
20231205,,
20231206,,
20231207,,
20231208,,
20231209,,
20231210,,
20231211,,
20231212,,
20231213,,
20231214,,
20231215,,
20231216,,
20231217,,
20231218,,
20231219,,
20231220,,
20231221,,
20231222,,
20231223,,
20231224,,
20231225,,
20231226,,
20231227,,
20231228,,
20231229,,
20231230,,
20231231,,
