일자,"2023년
비중(%)",거래물량(톤)
20230101,16.658,
20230102,11.086,29.41
20230103,11.937,243.82
20230104,14.872,372.21
20230105,12.925,403.75
20230106,10.167,416.5
20230107,9.025,413.22
20230108,4.598,
20230109,9.084,429.37
20230110,5.633,442.42
20230111,3.602,449.61
20230112,2.72,450.62
20230113,-0.93,441.82
20230114,-2.629,425.26
20230115,-3.274,
20230116,-4.478,435.64
20230117,-4.33,431.32
20230118,-5.417,428.8
20230119,-6.42,424.5
20230120,-8.557,406.51
20230121,-8.944,385.56
20230122,-8.736,
20230123,-11.358,
20230124,-13.543,
20230125,-17.436,368.62
20230126,-18.686,359.16
20230127,-16.472,357.51
20230128,-15.317,351.74
20230129,-15.307,
20230130,-12.065,348.9
20230131,-8.77,356.49
20230201,-2.869,362.8
20230202,-0.468,365.49
20230203,-0.915,367.66
20230204,-0.604,364.09
20230205,-0.419,
20230206,-0.53,367.58
20230207,-1.277,370.11
20230208,-3.118,373.51
20230209,-3.499,374.84
20230210,-6.77,372.18
20230211,-8.483,366.17
20230212,-8.765,
20230213,-11.442,366.36
20230214,-11.915,364.13
20230215,-11.82,363.24
20230216,-10.917,364.66
20230217,-9.889,360.93
20230218,-9.074,357.66
20230219,-8.415,
20230220,-6.68,358.83
20230221,-6.912,357.76
20230222,-5.907,359.42
20230223,-5.864,359.06
20230224,-3.237,360.37
20230225,-2.454,359.97
20230226,-2.457,
20230227,-3.7,359.33
20230228,-4.782,359.3
20230301,-4.278,361.3
20230302,-5.579,361.78
20230303,-4.819,360.8
20230304,-4.658,360.92
20230305,-5.873,
20230306,-4.545,363.15
20230307,-4.156,363.94
20230308,-8.875,362.4
20230309,-7.918,363.46
20230310,-10.625,363.28
20230311,-10.807,363.62
20230312,-10.464,
20230313,-8.887,364.06
20230314,-8.627,364
20230315,-5.32,364.37
20230316,-6.688,366.32
20230317,-5.674,367.84
20230318,-4.821,369.05
20230319,-4.847,
20230322,-7.32,374.64
20230323,-6.802,377.03
20230324,-7.369,378.97
20230325,-9.505,377.31
20230326,-9.744,
20230327,-6.335,381.29
20230328,-5.612,384.86
20230329,-6.074,388.85
20230330,-4.316,394.6
20230331,-1.776,401.48
20230401,4.337,408.43
20230402,3.729,
20230403,4.558,415.87
20230404,4.074,420.08
20230405,4.73,426.95
20230406,1.897,429.52
20230407,-1.989,433.52
20230408,-7.974,436.79
20230409,-9.191,
20230410,-8.932,445.38
20230411,-6.245,453.37
20230412,-5.113,462.58
20230413,67.875,470.89
20230414,76.264,478.37
20230415,82.428,483.6
20230416,0.347,
20230417,88.256,493.84
20230418,92.095,502.64
20230420,95.695,517.48
20230421,98.61,522.87
20230422,102.292,529.09
20230423,1.567,
20230424,101.693,538.82
20230425,98.686,546.89
20230426,94.899,549.72
20230427,,554.04
20230428,,557.7
20230429,,563.83
20230430,,
20230501,60.533,565.38
20230502,62.21,572.51
20230503,64.636,580.52
20230504,72.211,589.06
20230505,70.8,592.05
20230506,59.751,592.12
20230507,,
20230508,65.138,594.49
20230509,57.143,598.08
