일자,"2023년
비중(%)",평균가격(원/kg)
20230101,28.14,
20230102,27.73,1310
20230103,27.13,1300
20230104,27.2,1300
20230105,25.889,1300
20230106,24.8,1290
20230107,23.116,1290
20230108,22.314,
20230109,21.166,1290
20230110,21.067,1290
20230111,20.102,1280
20230112,18.497,1270
20230113,17.68,1260
20230114,17.893,1260
20230115,17.753,
20230116,17.147,1260
20230117,17.038,1250
20230118,16.685,1250
20230119,16.952,1250
20230120,17.31,1250
20230121,17.151,1250
20230122,17.155,
20230123,17.19,
20230124,17.13,
20230125,17.339,1250
20230126,19.26,1250
20230127,20.48,1260
20230128,20.853,1260
20230129,20.812,
20230130,21.145,1260
20230131,21.723,1260
20230201,22.317,1270
20230202,20.615,1270
20230203,19.843,1270
20230204,19.691,1270
20230205,19.31,
20230206,19.367,1270
20230207,19.454,1270
20230208,19.228,1280
20230209,19.209,1280
20230210,18.742,1280
20230211,18.874,1280
20230212,19.113,
20230213,19.221,1280
20230214,19.303,1280
20230215,18.579,1280
20230216,18.263,1280
20230217,19.604,1280
20230218,20.368,1280
20230219,19.655,
20230220,20.384,1290
20230221,21.324,1290
20230222,22.421,1290
20230223,23.142,1300
20230224,23.596,1300
20230225,24.252,1310
20230226,23.984,
20230227,24.597,1310
20230228,25.871,1320
20230301,27.233,1320
20230302,28.937,1330
20230303,30.694,1330
20230304,32.407,1340
20230305,33.132,
20230306,34.741,1350
20230307,34.738,1350
20230308,34.896,1360
20230309,34.811,1360
20230310,34.27,1360
20230311,33.669,1360
20230312,34.257,
20230313,33.194,1360
20230314,32.118,1360
20230315,31.823,1360
20230316,30.49,1360
20230317,28.799,1360
20230318,25.456,1360
20230319,25.113,
20230322,16.227,1340
20230323,13.939,1340
20230324,14.578,1340
20230325,16.459,1340
20230326,15.857,
20230327,16.77,1340
20230328,16.406,1330
20230329,16.814,1330
20230330,16.803,1330
20230331,15.542,1330
20230401,12.493,1330
20230402,12.309,
20230403,11.229,1330
20230404,11.07,1320
20230405,11.161,1320
20230406,12.965,1330
20230407,14.527,1330
20230408,17.314,1330
20230409,18.048,
20230410,20.606,1330
20230411,22.576,1330
20230412,24.338,1330
20230413,45.575,1330
20230414,43.967,1330
20230415,42.894,1330
20230416,24.403,
20230417,40.883,1330
20230418,37.264,1320
20230420,29.221,1320
20230421,25.334,1310
20230422,18.229,1310
20230423,12.144,
20230424,10.589,1300
20230425,4.422,1300
20230426,2.009,1290
20230427,,1290
20230428,,1280
20230429,,1280
20230430,,
20230501,2.68,1280
20230502,6.299,1280
20230503,6.299,1270
20230504,9.784,1270
20230505,13.404,1270
20230506,19.168,1270
20230507,,
20230508,24.261,1270
20230509,27.613,1270
20230510,29.489,1270
20230511,28.953,1270
20230512,26.272,1270
20230513,21.715,1260
20230514,,
20230515,17.961,1260
20230516,15.682,1260
20230517,13.94,1260
20230518,12.867,1260
20230519,12.599,1250
20230520,12.331,1250
20230521,,
20230522,12.197,1250
20230523,11.125,1250
20230524,12.733,1250
20230525,14.074,1240
20230526,16.621,1240
20230527,,1240
20230528,,
20230529,,
20230530,,
20230531,,
20230601,,
20230602,,
20230603,,
20230604,,
20230605,,
20230606,,
20230607,,
20230608,,
20230609,,
20230610,,
20230611,,
20230612,,
20230613,,
20230614,,
20230615,,
20230616,,
20230617,,
20230618,,
20230619,,
20230620,,
20230621,,
20230622,,
20230623,,
20230624,,
20230625,,
20230626,,
20230627,,
20230628,,
20230629,,
20230630,,
20230701,,
20230702,,
20230703,,
20230704,,
20230705,,
20230706,,
20230707,,
20230708,,
20230709,,
20230710,,
20230711,,
20230712,,
20230713,,
20230714,,
20230715,,
20230716,,
20230717,,
20230718,,
20230719,,
20230720,,
20230721,,
20230722,,
20230723,,
20230724,,
20230725,,
20230726,,
20230727,,
20230728,,
20230729,,
20230730,,
20230731,,
20230801,,
20230802,,
20230803,,
20230804,,
20230805,,
20230806,,
20230807,,
20230808,,
20230809,,
20230810,,
20230811,,
20230812,,
20230813,,
20230814,,
20230815,,
20230816,,
20230817,,
20230818,,
20230819,,
20230820,,
20230821,,
20230822,,
20230823,,
20230824,,
20230825,,
20230826,,
20230827,,
20230828,,
20230829,,
20230830,,
20230831,,
20230901,,
20230902,,
20230903,,
20230904,,
20230905,,
20230906,,
20230907,,
20230908,,
20230909,,
20230910,,
20230911,,
20230912,,
20230913,,
20230914,,
20230915,,
20230916,,
20230917,,
20230918,,
20230919,,
20230920,,
20230921,,
20230922,,
20230923,,
20230924,,
20230925,,
20230926,,
20230927,,
20230928,,
20230929,,
20230930,,
20231001,,
20231002,,
20231003,,
20231004,,
20231005,,
20231006,,
20231007,,
20231008,,
20231009,,
20231010,,
20231011,,
20231012,,
20231013,,
20231014,,
20231015,,
20231016,,
20231017,,
20231018,,
20231019,,
20231020,,
20231021,,
20231022,,
20231023,,
20231024,,
20231025,,
20231026,,
20231027,,
20231028,,
20231029,,
20231030,,
20231031,,
20231101,,
20231102,,
20231103,,
20231104,,
20231105,,
20231106,,
20231107,,
20231108,,
20231109,,
20231110,,
20231111,,
20231112,,
20231113,,
20231114,,
20231115,,
20231116,,
20231117,,
20231118,,
20231119,,
20231120,,
20231121,,
20231122,,
20231123,,
20231124,,
20231125,,
20231126,,
20231127,,
20231128,,
20231129,,
20231130,,
20231201,,
20231202,,
20231203,,
20231204,,
20231205,,
20231206,,
20231207,,
20231208,,
20231209,,
20231210,,
20231211,,
20231212,,
20231213,,
20231214,,
20231215,,
20231216,,
20231217,,
20231218,,
20231219,,
20231220,,
20231221,,
20231222,,
20231223,,
20231224,,
20231225,,
20231226,,
20231227,,
20231228,,
20231229,,
20231230,,
20231231,,
