일자,"2023년
비중(%)",평균가격(원/kg)
20230101,25.033,
20230102,27.16,7170
20230103,26.971,6950
20230104,21.669,6970
20230105,21.777,6880
20230106,21.147,6790
20230107,20.077,6680
20230108,20.532,
20230109,18.461,6570
20230110,17.375,6460
20230111,16.306,6390
20230112,15.743,6320
20230113,14.662,6270
20230114,14.34,6210
20230115,13.19,
20230116,13.978,6230
20230117,14.519,6220
20230118,13.314,6180
20230119,12.92,6170
20230120,12.888,6200
20230121,11.355,6160
20230122,10.323,
20230123,6.96,
20230124,5.34,6200
20230125,6.805,6240
20230126,8.989,6310
20230127,14.175,6450
20230128,20.84,6600
20230129,18.97,
20230130,23.34,6740
20230131,25.2,6810
20230201,23.47,6840
20230202,20.81,6870
20230203,17.971,6960
20230204,17.474,7100
20230205,15.448,
20230206,18.021,7250
20230207,24.3,7440
20230208,29.05,7570
20230209,33.45,7720
20230210,37.78,7920
20230211,41.06,8100
20230212,42.32,
20230213,43.93,8250
20230214,45.21,8440
20230215,46.81,8600
20230216,48.34,8750
20230217,49.96,8980
20230218,51.08,9220
20230219,50.58,
20230220,51.5,9420
20230221,51.99,9610
20230222,53.1,9790
20230223,54.71,9980
20230224,54.86,10170
20230225,53.93,10300
20230226,54.09,
20230227,52.85,10380
20230228,50.62,10430
20230301,47.58,10460
20230302,44.74,10510
20230303,42.95,10610
20230304,41.13,10660
20230305,41.5,
20230306,39.95,10670
20230307,39.68,10680
20230308,40,10690
20230309,40.15,10710
20230310,38.58,10720
20230311,38.34,10710
20230312,39.96,
20230313,41.63,10730
20230314,43.02,10740
20230315,43.86,10750
20230316,43.61,10740
20230317,41.64,10700
20230318,39.68,10650
20230319,40.24,
20230322,23.427,10440
20230323,15.542,10370
20230324,10.802,10300
20230325,7.963,10230
20230326,10.335,
20230327,8.548,10140
20230328,6.226,10050
20230329,1.846,9970
20230330,-1.098,9880
20230331,-2.685,9800
20230401,-1.509,9720
20230402,0.405,
20230403,5.641,9650
20230404,10.088,9580
20230405,13.664,9500
20230406,17.73,9430
20230407,18.451,9360
20230408,17.193,9290
20230409,18.305,
20230410,16.55,9220
20230411,16.096,9160
20230412,18.447,9100
20230413,0.095,9050
20230414,2.213,8990
20230415,4.064,8930
20230416,26.47,
20230417,6.012,8880
20230418,7.205,8830
20230420,7.449,8730
20230421,6.158,8680
20230422,4.551,8630
20230423,31.47,
20230424,2.554,8570
20230425,0.801,8520
20230426,26.88,8470
20230427,,8420
