일자,"2023년
비중(%)",거래물량(톤)
20230101,6.827,
20230102,0.102,16.32
20230103,4.156,103.04
20230104,5.349,130.08
20230105,4.818,119.47
20230106,2.681,126.47
20230107,3.062,122.71
20230108,4.742,
20230109,9.97,122.02
20230110,8.244,120.47
20230111,2.7,117.34
20230112,1.419,112.52
20230113,1.499,117.25
20230114,2.788,117.07
20230115,2.459,
20230116,2.535,120.91
20230117,1.427,118.9
20230118,1.236,118.41
20230119,0.58,116.13
20230120,0.643,119.49
20230121,4.378,115.91
20230122,3.085,
20230123,3.649,
20230124,7.271,109.83
20230125,8.52,111.93
20230126,-5.403,113.93
20230127,-4.773,116.55
20230128,-1.873,116.4
20230129,-2.732,
20230130,5.953,118.44
20230131,8.225,117.29
20230201,7.196,117.77
20230202,3.268,116.74
20230203,0.872,118.72
20230204,0.286,118.58
20230205,1.377,
20230206,1.382,120.56
20230207,1.28,120.17
20230208,1.855,121.29
20230209,1.468,120.95
20230210,-2.497,122.35
20230211,-2.13,122.41
20230212,-3.286,
20230213,-2.631,124.81
20230214,-2.589,124.97
20230215,-3.574,125.7
20230216,-4.991,125.04
20230217,-5.996,125.75
20230218,-6.733,125.67
20230219,-7.534,
20230220,-8.767,127.79
20230221,-9.208,127.76
20230222,-8.82,128.73
20230223,-8.765,128.39
20230224,-4.777,130.5
20230225,-3.376,131.15
20230226,-3.626,
20230227,-0.142,133.98
20230228,3.275,134.94
20230301,5.094,136.24
20230302,7.423,136.62
20230303,8.25,138.45
20230304,9.055,139.89
20230305,7.529,
20230306,6.311,141.56
20230307,5.581,142.82
20230308,2.697,144.05
20230309,2.508,144.46
20230310,3.737,146.55
20230311,5.31,148.55
20230312,3.751,
20230313,7.205,152.09
20230314,6.821,152.91
20230315,10.375,154.55
20230316,9.48,154.82
20230317,7.803,156.53
20230318,5.754,157.78
20230319,5.055,
20230322,-7.478,160.88
20230323,-8.242,160.98
20230324,-9.408,162.18
20230325,-9.844,163.49
20230326,-10.408,
20230327,-4.267,165.79
20230328,-5.789,166.14
20230329,-7.635,166.66
20230330,-8.475,166.74
20230331,-7.446,168.73
20230401,-9.035,169.54
20230402,-9.865,
20230403,-10.029,172.33
20230404,-10.123,172.92
20230405,-7.658,174.66
20230406,-7.652,174.91
20230407,-7.169,176.9
20230408,-5.356,178.33
20230409,-5.291,
20230410,-4.089,180.9
20230411,-3.716,181.56
20230412,-4.243,183.1
20230413,130.271,183.43
20230414,126.426,184.68
20230415,120.586,185.27
20230416,-7.51,
20230417,117.182,187.37
20230418,113.65,187.67
20230420,105.185,188.19
20230421,105.74,189.35
20230422,109.527,190.25
20230423,-12.512,
20230424,98.546,193.55
20230425,107.376,194.29
20230426,111.374,195.04
20230427,118.218,195.48
20230428,124.04,197.02
20230429,122.861,197.51
20230430,,
20230501,128.411,197.78
20230502,117.826,198.27
20230503,111.738,199.25
20230504,102.208,199.48
20230505,87.73,200.52
20230506,75.164,200.23
20230507,,
20230508,,201.52
20230509,,201.3
20230510,,201.78
20230511,,201.38
20230512,,202.13
20230513,,202.52
20230514,,
20230515,,204.1
20230516,,204.43
20230517,,205.47
20230518,,205.72
20230519,,206.41
20230520,,206.9
20230521,,
20230522,,208.8
20230523,,209.46
20230524,,210.64
20230525,,211.23
20230526,,211.95
20230527,,
20230528,,
20230529,,
20230530,,
20230531,,
20230601,,
20230602,,
20230603,,
20230604,,
20230605,,
20230606,,
20230607,,
20230608,,
20230609,,
20230610,,
20230611,,
20230612,,
20230613,,
20230614,,
20230615,,
20230616,,
20230617,,
20230618,,
20230619,,
20230620,,
20230621,,
20230622,,
20230623,,
20230624,,
20230625,,
20230626,,
20230627,,
20230628,,
20230629,,
20230630,,
20230701,,
20230702,,
20230703,,
20230704,,
20230705,,
20230706,,
20230707,,
20230708,,
20230709,,
20230710,,
20230711,,
20230712,,
20230713,,
20230714,,
20230715,,
20230716,,
20230717,,
20230718,,
20230719,,
20230720,,
20230721,,
20230722,,
20230723,,
20230724,,
20230725,,
20230726,,
20230727,,
20230728,,
20230729,,
20230730,,
20230731,,
20230801,,
20230802,,
20230803,,
20230804,,
20230805,,
20230806,,
20230807,,
20230808,,
20230809,,
20230810,,
20230811,,
20230812,,
20230813,,
20230814,,
20230815,,
20230816,,
20230817,,
20230818,,
20230819,,
20230820,,
20230821,,
20230822,,
20230823,,
20230824,,
20230825,,
20230826,,
20230827,,
20230828,,
20230829,,
20230830,,
20230831,,
20230901,,
20230902,,
20230903,,
20230904,,
20230905,,
20230906,,
20230907,,
20230908,,
20230909,,
20230910,,
20230911,,
20230912,,
20230913,,
20230914,,
20230915,,
20230916,,
20230917,,
20230918,,
20230919,,
20230920,,
20230921,,
20230922,,
20230923,,
20230924,,
20230925,,
20230926,,
20230927,,
20230928,,
20230929,,
20230930,,
20231001,,
20231002,,
20231003,,
20231004,,
20231005,,
20231006,,
20231007,,
20231008,,
20231009,,
20231010,,
20231011,,
20231012,,
20231013,,
20231014,,
20231015,,
20231016,,
20231017,,
20231018,,
20231019,,
20231020,,
20231021,,
20231022,,
20231023,,
20231024,,
20231025,,
20231026,,
20231027,,
20231028,,
20231029,,
20231030,,
20231031,,
20231101,,
20231102,,
20231103,,
20231104,,
20231105,,
20231106,,
20231107,,
20231108,,
20231109,,
20231110,,
20231111,,
20231112,,
20231113,,
20231114,,
20231115,,
20231116,,
20231117,,
20231118,,
20231119,,
20231120,,
20231121,,
20231122,,
20231123,,
20231124,,
20231125,,
20231126,,
20231127,,
20231128,,
20231129,,
20231130,,
20231201,,
20231202,,
20231203,,
20231204,,
20231205,,
20231206,,
20231207,,
20231208,,
20231209,,
20231210,,
20231211,,
20231212,,
20231213,,
20231214,,
20231215,,
20231216,,
20231217,,
20231218,,
20231219,,
20231220,,
20231221,,
20231222,,
20231223,,
20231224,,
20231225,,
20231226,,
20231227,,
20231228,,
20231229,,
20231230,,
20231231,,
