일자,"2023년
비중(%)",평균가격(원/kg)
20230101,-15.604,
20230102,-14.515,1620
20230103,-13.934,1680
20230104,-15.598,1640
20230105,-16.112,1630
20230106,-16.971,1630
20230107,-17.414,1630
20230108,-18.353,
20230109,-18.819,1660
20230110,-19.54,1670
20230111,-19.841,1670
20230112,-18.357,1720
20230113,-17.31,1740
20230114,-15.901,1760
20230115,-16.517,
20230116,-15.641,1810
20230117,-14.827,1820
20230118,-14.545,1830
20230119,-15.061,1860
20230120,-16.265,1860
20230121,-18.432,1850
20230122,-18.922,
20230123,-21.506,
20230124,-22.977,1860
20230125,-23.65,1860
20230126,-26.788,1850
20230127,-27.013,1850
20230128,-26.713,1850
20230129,-26.035,
20230130,-23.967,1860
20230131,-21.065,1880
20230201,-18.193,1910
20230202,-13.651,1950
20230203,-10.341,1980
20230204,-6.138,2010
20230205,-5.94,
20230206,-2.798,2040
20230207,0.645,2080
20230208,3.489,2100
20230209,4.791,2130
20230210,6.835,2160
20230211,7.868,2180
20230212,7.792,
20230213,8.702,2210
20230214,8.241,2230
20230215,8.58,2260
20230216,10.401,2290
20230217,12.294,2320
20230218,14.321,2350
20230219,14.013,
20230220,16.444,2390
20230221,19.023,2420
20230222,21.498,2460
20230223,23.023,2500
20230224,24.353,2530
20230225,24.886,2560
20230226,24.22,
20230227,23.74,2590
20230228,23.28,2610
20230301,22.02,2630
20230302,20.51,2660
20230303,19.19,2680
20230304,17.4,2700
20230305,16.47,
20230306,14.89,2710
20230307,12.754,2720
20230308,10.47,2730
20230309,7.707,2740
20230310,4.663,2740
20230311,1.587,2750
20230312,1.258,
20230313,-0.847,2750
20230314,-1.923,2750
20230315,-2.829,2760
20230316,-3.28,2760
20230317,-2.737,2770
20230318,-0.878,2780
20230319,-0.763,
20230322,4.891,2810
20230323,7.079,2820
20230324,9.057,2830
20230325,10.931,2840
20230326,11.58,
20230327,11.6,2850
20230328,12.61,2860
20230329,13.78,2880
20230330,14.81,2890
20230331,16.22,2910
20230401,17.46,2920
20230402,17.42,
20230403,17.93,2930
20230404,18.67,2940
20230405,17.64,2950
20230406,16.73,2950
20230407,14.7,2960
20230408,11.057,2960
20230409,11.259,
20230410,8.686,2960
20230411,6.392,2960
20230412,4.613,2960
20230413,19.925,2960
20230414,18.264,2960
20230415,17.433,2960
20230416,2.108,
20230417,16.372,2960
20230418,15.311,2950
20230420,14.249,2950
20230421,13.88,2950
20230422,13.649,2950
20230423,2.994,
20230424,12.496,2950
20230425,11.065,2940
20230426,9.219,2940
20230427,6.681,2930
20230428,3.912,2920
20230429,0.682,2920
20230430,,
20230501,1.144,2920
20230502,1.79,2920
20230503,3.912,2910
20230504,6.174,2910
20230505,9.358,2900
20230506,13.142,2890
20230507,,
20230508,,2880
20230509,,2880
20230510,,2870
20230511,,2870
20230512,,2860
20230513,,2860
20230514,,
20230515,,2850
20230516,,2850
20230517,,2840
20230518,,2830
20230519,,2830
20230520,,2820
20230521,,
20230522,,2810
20230523,,2800
20230524,,2790
20230525,,2790
20230526,,2780
20230527,,
20230528,,
20230529,,
20230530,,
20230531,,
20230601,,
20230602,,
20230603,,
20230604,,
20230605,,
20230606,,
20230607,,
20230608,,
20230609,,
20230610,,
20230611,,
20230612,,
20230613,,
20230614,,
20230615,,
20230616,,
20230617,,
20230618,,
20230619,,
20230620,,
20230621,,
20230622,,
20230623,,
20230624,,
20230625,,
20230626,,
20230627,,
20230628,,
20230629,,
20230630,,
20230701,,
20230702,,
20230703,,
20230704,,
20230705,,
20230706,,
20230707,,
20230708,,
20230709,,
20230710,,
20230711,,
20230712,,
20230713,,
20230714,,
20230715,,
20230716,,
20230717,,
20230718,,
20230719,,
20230720,,
20230721,,
20230722,,
20230723,,
20230724,,
20230725,,
20230726,,
20230727,,
20230728,,
20230729,,
20230730,,
20230731,,
20230801,,
20230802,,
20230803,,
20230804,,
20230805,,
20230806,,
20230807,,
20230808,,
20230809,,
20230810,,
20230811,,
20230812,,
20230813,,
20230814,,
20230815,,
20230816,,
20230817,,
20230818,,
20230819,,
20230820,,
20230821,,
20230822,,
20230823,,
20230824,,
20230825,,
20230826,,
20230827,,
20230828,,
20230829,,
20230830,,
20230831,,
20230901,,
20230902,,
20230903,,
20230904,,
20230905,,
20230906,,
20230907,,
20230908,,
20230909,,
20230910,,
20230911,,
20230912,,
20230913,,
20230914,,
20230915,,
20230916,,
20230917,,
20230918,,
20230919,,
20230920,,
20230921,,
20230922,,
20230923,,
20230924,,
20230925,,
20230926,,
20230927,,
20230928,,
20230929,,
20230930,,
20231001,,
20231002,,
20231003,,
20231004,,
20231005,,
20231006,,
20231007,,
20231008,,
20231009,,
20231010,,
20231011,,
20231012,,
20231013,,
20231014,,
20231015,,
20231016,,
20231017,,
20231018,,
20231019,,
20231020,,
20231021,,
20231022,,
20231023,,
20231024,,
20231025,,
20231026,,
20231027,,
20231028,,
20231029,,
20231030,,
20231031,,
20231101,,
20231102,,
20231103,,
20231104,,
20231105,,
20231106,,
20231107,,
20231108,,
20231109,,
20231110,,
20231111,,
20231112,,
20231113,,
20231114,,
20231115,,
20231116,,
20231117,,
20231118,,
20231119,,
20231120,,
20231121,,
20231122,,
20231123,,
20231124,,
20231125,,
20231126,,
20231127,,
20231128,,
20231129,,
20231130,,
20231201,,
20231202,,
20231203,,
20231204,,
20231205,,
20231206,,
20231207,,
20231208,,
20231209,,
20231210,,
20231211,,
20231212,,
20231213,,
20231214,,
20231215,,
20231216,,
20231217,,
20231218,,
20231219,,
20231220,,
20231221,,
20231222,,
20231223,,
20231224,,
20231225,,
20231226,,
20231227,,
20231228,,
