일자,"2023년
비중(%)",거래물량(톤)
20230101,1.549,
20230102,-2.745,0.74
20230103,-4.377,6.23
20230104,-6.001,6
20230105,-2.058,9.08
20230106,-8.468,8.74
20230107,-7.605,10.4
20230108,-5.352,
20230109,-1.678,10.1
20230110,-0.195,9.89
20230111,-2.537,9.37
20230112,-0.262,9.15
20230113,8.818,9.15
20230114,11.6,9.1
20230115,7.975,
20230116,14.621,8.9
20230117,17.658,8.74
20230118,18.113,8.99
20230119,17.834,9.05
20230120,9.897,9.11
20230121,10.525,8.7
20230122,9.421,
20230123,3.727,
20230124,2.918,8.25
20230125,-0.513,7.97
20230126,-4.988,7.66
20230127,-6.825,7.46
20230128,-9.828,7.22
20230129,-9.646,
20230130,-12.08,7.07
20230131,-14.369,6.93
20230201,-15.28,6.91
20230202,-14.725,6.81
20230203,-12.013,6.97
20230204,-11.357,7.01
20230205,-11.553,
20230206,-11.322,7.01
20230207,-11.123,6.99
20230208,-10.171,6.9
20230209,-9.49,6.81
20230210,-11.564,6.7
20230211,-13.021,6.89
20230212,-13.71,
20230213,-12.494,6.88
20230214,-12.918,6.82
20230215,-12.398,6.81
20230216,-13.428,6.79
20230217,-14.343,6.74
20230218,-13.616,6.68
20230219,-13.499,
20230220,-14.084,6.69
20230221,-14.636,6.7
20230222,-15.307,6.68
20230223,-13.782,6.64
20230224,-9.324,6.71
20230225,-8.813,6.66
20230226,-8.261,
20230227,-7.872,6.67
20230228,-8.544,6.68
20230301,-9.505,6.67
20230302,-10.83,6.67
20230303,-12.795,6.64
20230304,-12.924,6.62
20230305,-12.94,
20230306,-11.805,6.64
20230307,-8.895,6.67
20230308,-10.285,6.64
20230309,-9.791,6.65
20230310,-8.309,6.61
20230311,-10.237,6.59
20230312,-10.194,
20230313,-10.629,6.56
20230314,-13.461,6.51
20230315,-12.692,6.46
20230316,-12.619,6.41
20230317,-12.686,6.39
20230318,-14.421,6.37
20230319,-14.476,
20230322,-12.899,6.28
20230323,-11.519,6.26
20230324,-12.951,6.27
20230325,-10.569,6.25
20230326,-11.02,
20230327,-7.923,6.24
20230328,-6.566,6.24
20230329,-2.512,6.24
20230330,1.27,6.22
20230331,5.021,6.23
20230401,6.128,6.2
20230402,4.235,
20230403,3.411,6.2
20230404,2.141,6.19
20230405,0.045,6.18
20230406,-4.899,6.17
20230407,-7.812,6.17
20230408,-8.58,6.14
20230409,-8.678,
20230410,-10.778,6.13
20230411,-12.109,6.13
20230412,-12.306,6.14
20230413,3.443,6.12
20230414,2.465,6.14
20230415,1.354,6.12
20230416,-14.042,
20230417,4.638,6.11
20230418,4.391,6.11
20230420,7.357,6.09
20230421,13.241,6.1
20230422,15.996,6.08
20230423,-3.75,
20230424,18.277,6.09
20230425,20.606,6.11
20230426,0.103,6.11
20230427,,6.11
20230428,,6.12
20230429,,6.13
20230430,,
20230501,,6.11
20230502,12.102,6.09
20230503,0.787,6.1
20230504,,6.08
20230505,,6.1
20230506,,6.07
20230507,,
20230508,,6.08
20230509,,6.07
20230510,,6.06
20230511,,6.06
20230512,,6.07
20230513,,6.05
20230514,,
20230515,,6.05
20230516,,6.05
20230517,,6.04
20230518,,6.02
20230519,,6.01
20230520,,5.99
20230521,,
20230522,,6
20230523,1.862,5.99
20230524,9.307,5.98
20230525,15.528,5.98
20230526,16.621,5.99
20230527,,5.97
20230528,,
20230529,,
20230530,,
20230531,,
20230601,,
20230602,,
20230603,,
20230604,,
20230605,,
20230606,,
20230607,,
20230608,,
20230609,,
20230610,,
20230611,,
20230612,,
20230613,,
20230614,,
20230615,,
20230616,,
20230617,,
20230618,,
20230619,,
20230620,,
20230621,,
20230622,,
20230623,,
20230624,,
20230625,,
20230626,,
20230627,,
20230628,,
20230629,,
20230630,,
20230701,,
20230702,,
20230703,,
20230704,,
20230705,,
20230706,,
20230707,,
20230708,,
20230709,,
20230710,,
20230711,,
20230712,,
20230713,,
20230714,,
20230715,,
20230716,,
20230717,,
20230718,,
20230719,,
20230720,,
20230721,,
20230722,,
20230723,,
20230724,,
20230725,,
20230726,,
20230727,,
20230728,,
20230729,,
20230730,,
20230731,,
20230801,,
20230802,,
20230803,,
20230804,,
20230805,,
20230806,,
20230807,,
20230808,,
20230809,,
20230810,,
20230811,,
20230812,,
20230813,,
20230814,,
20230815,,
20230816,,
20230817,,
20230818,,
20230819,,
20230820,,
20230821,,
20230822,,
20230823,,
20230824,,
20230825,,
20230826,,
20230827,,
20230828,,
20230829,,
20230830,,
20230831,,
20230901,,
20230902,,
20230903,,
20230904,,
20230905,,
20230906,,
20230907,,
20230908,,
20230909,,
20230910,,
20230911,,
20230912,,
20230913,,
20230914,,
20230915,,
20230916,,
20230917,,
20230918,,
20230919,,
20230920,,
20230921,,
20230922,,
20230923,,
20230924,,
20230925,,
20230926,,
20230927,,
20230928,,
20230929,,
20230930,,
20231001,,
20231002,,
20231003,,
20231004,,
20231005,,
20231006,,
20231007,,
20231008,,
