일자,"2023년
비중(%)",평균가격(원/kg)
20230101,-1.682,
20230102,-0.675,4650
20230103,0.249,4270
20230104,0.913,4740
20230105,0.082,4250
20230106,2.996,4270
20230107,2.932,4010
20230108,0.066,
20230109,3.709,4070
20230110,7.65,4090
20230111,9.434,4290
20230112,11.549,4390
20230113,11.483,4460
20230114,12.048,4540
20230115,9.762,
20230116,7.542,4790
20230117,5.624,4990
20230118,2.547,5020
20230119,1.876,5180
20230120,1.226,5340
20230121,0.609,5520
20230122,-0.092,
20230123,-0.914,
20230124,-1.394,5360
20230125,1.837,5590
20230126,4.527,5750
20230127,6.829,5970
20230128,9.661,6170
20230129,9.947,
20230130,13.11,6310
20230131,15.144,6440
20230201,14.213,6490
20230202,12.722,6600
20230203,12.142,6580
20230204,12.471,6580
20230205,12.96,
20230206,14.33,6580
20230207,15.46,6580
20230208,15.59,6620
20230209,13.96,6660
20230210,12.54,6660
20230211,11.55,6630
20230212,14.09,
20230213,11.62,6640
20230214,9.06,6660
20230215,7.729,6650
20230216,8.537,6640
20230217,9.397,6610
20230218,11.16,6610
20230219,11.737,
20230220,12.96,6610
20230221,14.35,6600
20230222,16.63,6610
20230223,18.74,6610
20230224,19.7,6590
20230225,19.69,6580
20230226,19.88,
20230227,19.73,6580
20230228,21.08,6590
20230301,21.5,6610
20230302,22.8,6620
20230303,24.01,6630
20230304,25.18,6650
20230305,25.24,
20230306,26.18,6640
20230307,25.56,6620
20230308,24.23,6590
20230309,22.35,6570
20230310,20.92,6570
20230311,18.894,6550
20230312,19.669,
20230313,18.426,6550
20230314,18.547,6550
20230315,21.023,6550
20230316,22.32,6570
20230317,21.36,6560
20230318,22.67,6540
20230319,22.61,
20230322,23.43,6510
20230323,22.74,6500
20230324,24.07,6480
20230325,23.93,6470
20230326,23.96,
20230327,23.24,6460
20230328,21.153,6450
20230329,17.921,6430
20230330,14.38,6420
20230331,10.096,6400
20230401,5.132,6400
20230402,5.577,
20230403,2.323,6390
20230404,-0.591,6360
20230405,-2.311,6340
20230406,-1.615,6310
20230407,-0.619,6290
20230408,0.858,6280
20230409,2.073,
20230410,4.05,6270
20230411,5.202,6240
20230412,6.178,6210
20230413,5.922,6190
20230414,5.955,6160
20230415,6.728,6140
20230416,9.206,
20230417,6.761,6130
20230418,6.493,6110
20230420,8.037,6070
20230421,6.996,6050
20230422,5.183,6040
20230423,15.09,
20230424,2.464,6020
20230425,0.214,5990
20230426,7.103,5980
20230427,,5960
20230428,,5940
20230429,,5910
20230430,,
