일자,"2023년
비중(%)",거래물량(톤)
20230101,-5.025,
20230102,-8.104,33.31
20230103,-6.003,176.23
20230104,-2.996,206.81
20230105,-1.787,224.19
20230106,-3.401,231.32
20230107,-5.308,235.7
20230108,-5.989,
20230109,-1.066,252.65
20230110,-1.224,255.19
20230111,-0.768,254.78
20230112,-0.382,253.38
20230113,0.954,252.83
20230114,2.099,250.14
20230115,2.637,
20230116,2.275,256.4
20230117,4.887,261.35
20230118,5.792,265.12
20230119,6.733,266.22
20230120,6.446,265.05
20230121,6.818,254.6
20230122,7.235,
20230123,4.41,
20230124,1.388,241.2
20230125,-4.421,236.2
20230126,-7.013,233.93
20230127,-8.688,231.37
20230128,-10.756,229.1
20230129,-9.972,
20230130,-7.941,230.4
20230131,-7.448,229.98
20230201,-2.84,229.24
20230202,-2.357,227.56
20230203,-2.362,225.41
20230204,-3.901,222.6
20230205,-4.342,
20230206,-9.123,221.44
20230207,-13.635,219.1
20230208,-15.982,217.64
20230209,-16.269,216.24
20230210,-19.751,212.82
20230211,-18.808,210.7
20230212,-19.354,
20230213,-16.761,211.08
20230214,-12.941,210.46
20230215,-11.59,209.44
20230216,-13.334,208.26
20230217,-12.255,205.51
20230218,-10.838,204.24
20230219,-9.475,
20230220,-9.496,204.52
20230221,-9.884,203.79
20230222,-10.449,202.87
20230223,-10.568,201.9
20230224,-7.886,201.43
20230225,-7.091,200.99
20230226,-7.744,
20230227,-6.617,202.08
20230228,-5.204,202.56
20230301,-4.197,202.76
20230302,-3.894,202.59
20230303,-4.234,202.74
20230304,-4.731,202.86
20230305,-6.275,
20230306,-6.985,204.19
20230307,-8.683,204.36
20230308,-12.349,202.99
20230309,-13.774,202.87
20230310,-14.554,202.74
20230311,-16.612,202.33
20230312,-17.06,
20230313,-17.639,203.32
20230314,-17.492,203.54
20230315,-14.394,203.92
20230316,-13.168,204.39
20230317,-11.875,204.99
20230318,-10.2,205.44
20230319,-10.384,
20230322,-9.224,207.88
20230323,-8.333,208.97
20230324,-7.973,210.03
20230325,-6.893,211.35
20230326,-7.5,
20230327,-1.085,215.17
20230328,-0.311,216.78
20230329,0.076,218.08
20230330,-0.569,218.99
20230331,-0.78,219.87
20230401,-2.111,220.57
20230402,-2.561,
20230403,-6.098,222.58
20230404,-7.191,223.68
20230405,-7.919,224.63
20230406,-8.854,225.15
20230407,-9.045,225.95
20230408,-8.61,226.77
20230409,-8.92,
20230410,-8.625,228.8
20230411,-9.059,229.48
20230412,-9.677,230.1
20230413,19.536,230.4
20230414,18.465,230.83
20230415,16.951,231.18
20230416,-11.143,
20230417,16.06,232.82
20230418,16.373,233.48
20230420,18.632,234.77
20230421,21.315,235.72
20230422,23.417,236.47
20230423,-9.668,
20230424,26.147,238.55
20230425,27.481,239.4
20230426,-10.197,240.38
20230427,,241.6
20230428,,242.88
20230429,,243.74
20230430,,
20230501,,244.17
20230502,,245.14
20230503,,245.96
20230504,10.987,246.8
20230505,3.934,247.71
20230506,,248.27
20230507,,
20230508,,250.08
20230509,,250.86
20230510,,251.33
20230511,,251.55
20230512,,251.77
20230513,,251.87
20230514,,
20230515,20.887,253.03
20230516,20.602,253.68
20230517,21.161,254.21
20230518,22.469,254.63
20230519,24.216,255.12
20230520,27.515,255.78
20230521,,
20230522,31.028,257.46
20230523,32.532,258.31
20230524,34.882,259.18
20230525,35.854,259.7
20230526,,260.08
20230527,,
20230528,,
20230529,,
20230530,,
20230531,,
20230601,,
20230602,,
20230603,,
20230604,,
20230605,,
20230606,,
20230607,,
20230608,,
20230609,,
20230610,,
20230611,,
20230612,,
20230613,,
20230614,,
20230615,,
20230616,,
20230617,,
20230618,,
20230619,,
20230620,,
20230621,,
20230622,,
20230623,,
20230624,,
20230625,,
20230626,,
20230627,,
20230628,,
20230629,,
20230630,,
20230701,,
20230702,,
20230703,,
20230704,,
20230705,,
20230706,,
20230707,,
20230708,,
20230709,,
20230710,,
20230711,,
20230712,,
20230713,,
20230714,,
20230715,,
20230716,,
20230717,,
20230718,,
20230719,,
20230720,,
20230721,,
20230722,,
20230723,,
20230724,,
20230725,,
20230726,,
20230727,,
20230728,,
20230729,,
20230730,,
20230731,,
20230801,,
20230802,,
20230803,,
20230804,,
20230805,,
20230806,,
20230807,,
20230808,,
20230809,,
20230810,,
20230811,,
20230812,,
20230813,,
20230814,,
20230815,,
20230816,,
20230817,,
20230818,,
20230819,,
20230820,,
20230821,,
20230822,,
20230823,,
20230824,,
20230825,,
20230826,,
20230827,,
20230828,,
20230829,,
20230830,,
20230831,,
20230901,,
20230902,,
20230903,,
20230904,,
20230905,,
20230906,,
20230907,,
20230908,,
20230909,,
20230910,,
20230911,,
20230912,,
20230913,,
20230914,,
20230915,,
20230916,,
20230917,,
20230918,,
20230919,,
20230920,,
20230921,,
20230922,,
20230923,,
20230924,,
20230925,,
20230926,,
20230927,,
20230928,,
20230929,,
20230930,,
20231001,,
20231002,,
20231003,,
20231004,,
20231005,,
20231006,,
20231007,,
20231008,,
20231009,,
20231010,,
20231011,,
20231012,,
20231013,,
20231014,,
20231015,,
20231016,,
20231017,,
20231018,,
20231019,,
20231020,,
20231021,,
20231022,,
20231023,,
20231024,,
20231025,,
20231026,,
20231027,,
20231028,,
20231029,,
20231030,,
20231031,,
20231101,,
20231102,,
20231103,,
20231104,,
20231105,,
20231106,,
20231107,,
20231108,,
20231109,,
20231110,,
20231111,,
20231112,,
20231113,,
20231114,,
20231115,,
20231116,,
20231117,,
20231118,,
20231119,,
20231120,,
20231121,,
20231122,,
20231123,,
20231124,,
20231125,,
20231126,,
20231127,,
20231128,,
