date,요일,청양고추_거래량(kg),청양고추_가격(원/kg),시금치_거래량(kg),시금치_가격(원/kg),토마토_거래량(kg),토마토_가격(원/kg),파프리카_거래량(kg),파프리카_가격(원/kg),깻잎_거래량(kg),깻잎_가격(원/kg),미나리_거래량(kg),미나리_가격(원/kg),양파_거래량(kg),양파_가격(원/kg),풋고추_거래량(kg),풋고추_가격(원/kg)
2013-01-01,화요일,0,,60,1650,420,2970,0,,10,7500,100,3250,0,,60,2500
2013-01-02,수요일,55220,8600,13070,2460,6950,2460,2080,3580,9200,9560,4390,3020,40620,1210,46990,5020
2013-01-03,목요일,119490,8590,82050,2820,30970,2350,4760,3840,24830,9910,22180,2780,178270,1200,129930,5870
2013-01-04,금요일,119640,8540,97580,3020,48250,2260,4540,4290,29450,10150,31740,2690,221890,1180,144960,6260
2013-01-05,토요일,115310,8500,103760,3190,50650,2230,4100,4510,31450,10160,38510,2530,218180,1200,149780,6440
2013-01-06,일요일,0,,0,,0,,0,,0,,0,,0,,0,
2013-01-07,월요일,114770,8550,117690,3280,58180,2210,4420,4510,35250,10090,43200,2380,267760,1210,159860,6560
2013-01-08,화요일,103260,8550,123940,3320,58950,2200,4290,4580,35690,9880,45990,2280,271400,1220,153190,6530
2013-01-09,수요일,101480,8590,131910,3340,58280,2180,5130,5000,36250,9560,48140,2180,287230,1220,152230,6630
2013-01-10,목요일,100640,8620,137650,3340,56970,2180,4330,5170,36910,9310,45220,2080,289370,1210,153050,6680
2013-01-11,금요일,96700,8650,141620,3320,59660,2180,3950,5280,37300,9070,47430,2010,291410,1210,149940,6700
2013-01-12,토요일,89780,8630,143010,3300,59310,2180,3700,5520,37370,8860,49430,1950,283860,1210,143790,6630
2013-01-13,일요일,0,,0,,0,,0,,0,,0,,0,,0,
2013-01-14,월요일,87010,8630,147860,3280,61040,2190,3220,5750,38900,8690,50400,1920,283600,1210,144270,6600
2013-01-15,화요일,84500,8620,148630,3240,61180,2220,2920,5980,39100,8560,50940,1900,286920,1210,143030,6580
2013-01-16,수요일,82630,8640,151630,3210,60340,2250,1880,6130,39480,8430,51510,1880,284710,1220,142380,6560
2013-01-17,목요일,79170,8660,152830,3180,60720,2290,1970,6490,39750,8310,51900,1860,281290,1220,139420,6520
2013-01-18,금요일,75830,8690,153930,3150,61830,2320,2060,6710,40210,8190,52450,1850,275640,1220,135920,6510
2013-01-19,토요일,72590,8680,154130,3120,61370,2360,2610,6730,40290,8070,53220,1830,267270,1230,132350,6480
2013-01-20,일요일,0,,0,,0,,0,,0,,0,,0,,0,
2013-01-21,월요일,70970,8690,157700,3110,63190,2390,2780,6860,41210,7950,53710,1810,268180,1230,131770,6470
2013-01-22,화요일,68610,8710,156830,3090,62640,2450,3080,6810,41220,7840,54130,1810,266390,1240,128800,6460
2013-01-23,수요일,66310,8750,159030,3070,62100,2470,3390,6610,41330,7740,54760,1790,265180,1240,126090,6470
2013-01-24,목요일,63910,8820,159380,3040,62110,2510,3590,6480,41420,7640,54730,1780,263330,1250,123380,6480
2013-01-25,금요일,61460,8910,160480,3020,62710,2550,3950,6360,41550,7550,54910,1760,267620,1250,120840,6500
2013-01-26,토요일,58870,8910,161410,2990,61880,2570,3980,6380,41400,7470,55390,1750,264410,1260,117490,6510
2013-01-27,일요일,0,,0,,0,,0,,0,,0,,0,,0,
2013-01-28,월요일,56860,9050,165350,2970,63080,2600,5820,6380,41780,7400,55950,1730,263680,1260,116170,6560
2013-01-29,화요일,54990,9180,167520,2950,63380,2630,6970,6410,41470,7380,56050,1740,261390,1270,114300,6620
2013-01-30,수요일,53300,9330,169910,2920,62800,2650,8340,6440,41330,7390,56410,1770,259850,1270,112830,6670
2013-01-31,목요일,51700,9500,172150,2890,62940,2670,8980,6310,41200,7420,55420,1770,258700,1280,111160,6740
2013-02-01,금요일,50260,9680,175110,2860,63850,2680,9290,6120,41330,7480,56340,1780,262060,1280,109820,6810
2013-02-02,토요일,48560,9720,176400,2830,63510,2690,9320,5970,41480,7530,57360,1800,258690,1290,107770,6830
2013-02-03,일요일,0,,0,,0,,0,,0,,0,,0,,0,
2013-02-04,월요일,47310,9830,182430,2810,64330,2690,7760,5930,42560,7570,58150,1820,258490,1290,107870,6880
2013-02-05,화요일,46340,9900,188070,2800,64620,2690,7050,5970,43030,7610,58490,1860,257610,1300,108050,6910
2013-02-06,수요일,45580,9970,194650,2790,64290,2690,6130,5990,43760,7630,59010,1890,256320,1310,108680,6940
2013-02-07,목요일,44660,10020,201500,2790,65310,2690,5950,6070,44370,7650,59530,1930,257270,1320,108860,6950
2013-02-08,금요일,44070,9980,209460,2770,65860,2680,7220,5910,44840,7640,60760,1940,256040,1320,108770,6910
2013-02-09,토요일,43430,9890,207240,2730,64550,2690,6460,6080,43710,7610,59220,1930,248860,1340,106530,6890
2013-02-10,일요일,0,,0,,0,,0,,0,,0,,0,,0,
2013-02-11,월요일,0,,0,,0,,0,,0,,0,,0,,0,
2013-02-12,화요일,42190,9900,201660,2700,62800,2680,5400,6020,42530,7670,57590,1910,0,,103610,6860
